Username,target,semantic_bio_score
bryanveloso,gthoppae,0.5498772263526917
willnorris,gthoppae,0.5255875587463379
dpetersen,ncdc,0.6260411739349365
blake,ncdc,0.6243271827697754
jfontan,ncdc,0.5756823420524597
tammersaleh,ncdc,0.5262330174446106
hosh,ncdc,0.5190236568450928
krukow,bendik,0.4321720004081726
caged,bendik,0.4296224117279053
theinterned,bendik,0.3704690635204315
imajes,bendik,0.3668551445007324
allison-lara,bendik,0.36099469661712646
ryenski,sbraford,0.53098464012146
weldyss,sbraford,0.5224025845527649
dugb,sbraford,0.5224025249481201
dpickett,sbraford,0.5071914196014404
gustavocardoso,sbraford,0.4841780662536621
jeremy,pius,1.0000001192092896
pius,pius,1.0000001192092896
aslakhellesoy,pius,1.0000001192092896
andy,pius,1.0000001192092896
tmc,pius,1.0000001192092896
noteflakes,samaaron,0.4582844376564026
Jabbslad,samaaron,0.44101041555404663
adamwiggins,samaaron,0.41741299629211426
davidwparker,samaaron,0.4169286787509918
aaronmgriffin,samaaron,0.40799614787101746
tmadeira,endersonmaia,0.5628964900970459
pbhogan,endersonmaia,0.5618683099746704
avdgaag,endersonmaia,0.5435267686843872
tdd,endersonmaia,0.5335467457771301
kad3nce,endersonmaia,0.5284129977226257
aub,augustl,0.416183203458786
lucky,augustl,0.3346089720726013
langalex,augustl,0.322829931974411
Oshuma,augustl,0.2900632619857788
jstewart,augustl,0.2826072573661804
kana,tpope,0.5195633769035339
rares,tpope,0.5003831386566162
jamesbritt,tpope,0.4121224880218506
heff,tpope,0.3706400692462921
gregnewman,tpope,0.3513641357421875
hpopp,methodmissing,0.5200260877609253
bergie,methodmissing,0.5105071067810059
kad3nce,methodmissing,0.5021220445632935
macournoyer,methodmissing,0.4920017421245575
avdgaag,methodmissing,0.491327702999115
gerrit,mariusz,0.6423410177230835
mlandauer,mariusz,0.607656717300415
jerry,mariusz,0.6063264608383179
cmatthias,mariusz,0.5994985103607178
justinabrahms,mariusz,0.5936999320983887
mislav,palmamartin,0.33919239044189453
brokendisk,palmamartin,0.3346409499645233
MiloCasagrande,palmamartin,0.3254454433917999
damog,palmamartin,0.3000767230987549
Olli,palmamartin,0.2756813168525696
danahern,kangax,0.5211941003799438
invalidusrname,kangax,0.5205550789833069
jerry,kangax,0.5160386562347412
krobertson,kangax,0.5089701414108276
whomwah,kangax,0.49040889739990234
mtodd,therubymug,0.6455309391021729
freeformz,therubymug,0.6371772289276123
obie,therubymug,0.6261241436004639
djalmaaraujo,therubymug,0.6155853271484375
soulim,therubymug,0.5961987972259521
dlrust,chrisgriffin,0.5536760091781616
apardo,chrisgriffin,0.5364443063735962
cheeaun,chrisgriffin,0.527661919593811
